image_path,true_label,status_code,predicted_label,response_json
data\processed\PetImages_224_split\test\Cat\10083.jpg,Cat,200,"{'probabilities': [0.9997144341468811, 0.0002855617494788021], 'predicted_class': 0, 'predicted_label': None}","{""predictions"": [{""probabilities"": [0.9997144341468811, 0.0002855617494788021], ""predicted_class"": 0, ""predicted_label"": null}]}"
data\processed\PetImages_224_split\test\Cat\10092.jpg,Cat,200,"{'probabilities': [0.9986020922660828, 0.001397971878759563], 'predicted_class': 0, 'predicted_label': None}","{""predictions"": [{""probabilities"": [0.9986020922660828, 0.001397971878759563], ""predicted_class"": 0, ""predicted_label"": null}]}"
data\processed\PetImages_224_split\test\Cat\10101.jpg,Cat,200,"{'probabilities': [0.9502919316291809, 0.04970802366733551], 'predicted_class': 0, 'predicted_label': None}","{""predictions"": [{""probabilities"": [0.9502919316291809, 0.04970802366733551], ""predicted_class"": 0, ""predicted_label"": null}]}"
data\processed\PetImages_224_split\test\Cat\10111.jpg,Cat,200,"{'probabilities': [0.8673442006111145, 0.13265575468540192], 'predicted_class': 0, 'predicted_label': None}","{""predictions"": [{""probabilities"": [0.8673442006111145, 0.13265575468540192], ""predicted_class"": 0, ""predicted_label"": null}]}"
data\processed\PetImages_224_split\test\Cat\10133.jpg,Cat,200,"{'probabilities': [0.5373155474662781, 0.4626844525337219], 'predicted_class': 0, 'predicted_label': None}","{""predictions"": [{""probabilities"": [0.5373155474662781, 0.4626844525337219], ""predicted_class"": 0, ""predicted_label"": null}]}"
data\processed\PetImages_224_split\test\Cat\10139.jpg,Cat,200,"{'probabilities': [0.7261621356010437, 0.2738379240036011], 'predicted_class': 0, 'predicted_label': None}","{""predictions"": [{""probabilities"": [0.7261621356010437, 0.2738379240036011], ""predicted_class"": 0, ""predicted_label"": null}]}"
data\processed\PetImages_224_split\test\Cat\10146.jpg,Cat,200,"{'probabilities': [0.716280460357666, 0.28371956944465637], 'predicted_class': 0, 'predicted_label': None}","{""predictions"": [{""probabilities"": [0.716280460357666, 0.28371956944465637], ""predicted_class"": 0, ""predicted_label"": null}]}"
data\processed\PetImages_224_split\test\Cat\10166.jpg,Cat,200,"{'probabilities': [0.5134548544883728, 0.4865450859069824], 'predicted_class': 0, 'predicted_label': None}","{""predictions"": [{""probabilities"": [0.5134548544883728, 0.4865450859069824], ""predicted_class"": 0, ""predicted_label"": null}]}"
data\processed\PetImages_224_split\test\Cat\10177.jpg,Cat,200,"{'probabilities': [0.6983853578567505, 0.3016146421432495], 'predicted_class': 0, 'predicted_label': None}","{""predictions"": [{""probabilities"": [0.6983853578567505, 0.3016146421432495], ""predicted_class"": 0, ""predicted_label"": null}]}"
data\processed\PetImages_224_split\test\Cat\10183.jpg,Cat,200,"{'probabilities': [0.8088819980621338, 0.19111798703670502], 'predicted_class': 0, 'predicted_label': None}","{""predictions"": [{""probabilities"": [0.8088819980621338, 0.19111798703670502], ""predicted_class"": 0, ""predicted_label"": null}]}"
data\processed\PetImages_224_split\test\Cat\10199.jpg,Cat,200,"{'probabilities': [0.9945569038391113, 0.005443089175969362], 'predicted_class': 0, 'predicted_label': None}","{""predictions"": [{""probabilities"": [0.9945569038391113, 0.005443089175969362], ""predicted_class"": 0, ""predicted_label"": null}]}"
data\processed\PetImages_224_split\test\Cat\10204.jpg,Cat,200,"{'probabilities': [0.8070021271705627, 0.19299791753292084], 'predicted_class': 0, 'predicted_label': None}","{""predictions"": [{""probabilities"": [0.8070021271705627, 0.19299791753292084], ""predicted_class"": 0, ""predicted_label"": null}]}"
data\processed\PetImages_224_split\test\Cat\10213.jpg,Cat,200,"{'probabilities': [0.03448004648089409, 0.965519905090332], 'predicted_class': 1, 'predicted_label': None}","{""predictions"": [{""probabilities"": [0.03448004648089409, 0.965519905090332], ""predicted_class"": 1, ""predicted_label"": null}]}"
data\processed\PetImages_224_split\test\Cat\10222.jpg,Cat,200,"{'probabilities': [0.29760831594467163, 0.7023916244506836], 'predicted_class': 1, 'predicted_label': None}","{""predictions"": [{""probabilities"": [0.29760831594467163, 0.7023916244506836], ""predicted_class"": 1, ""predicted_label"": null}]}"
data\processed\PetImages_224_split\test\Cat\10250.jpg,Cat,200,"{'probabilities': [0.44088950753211975, 0.5591105222702026], 'predicted_class': 1, 'predicted_label': None}","{""predictions"": [{""probabilities"": [0.44088950753211975, 0.5591105222702026], ""predicted_class"": 1, ""predicted_label"": null}]}"
data\processed\PetImages_224_split\test\Cat\10282.jpg,Cat,200,"{'probabilities': [0.09839601814746857, 0.9016039371490479], 'predicted_class': 1, 'predicted_label': None}","{""predictions"": [{""probabilities"": [0.09839601814746857, 0.9016039371490479], ""predicted_class"": 1, ""predicted_label"": null}]}"
data\processed\PetImages_224_split\test\Cat\10284.jpg,Cat,200,"{'probabilities': [0.9242308735847473, 0.07576914876699448], 'predicted_class': 0, 'predicted_label': None}","{""predictions"": [{""probabilities"": [0.9242308735847473, 0.07576914876699448], ""predicted_class"": 0, ""predicted_label"": null}]}"
data\processed\PetImages_224_split\test\Cat\10285.jpg,Cat,200,"{'probabilities': [0.892169713973999, 0.1078302264213562], 'predicted_class': 0, 'predicted_label': None}","{""predictions"": [{""probabilities"": [0.892169713973999, 0.1078302264213562], ""predicted_class"": 0, ""predicted_label"": null}]}"
data\processed\PetImages_224_split\test\Cat\10297.jpg,Cat,200,"{'probabilities': [0.30780887603759766, 0.6921911835670471], 'predicted_class': 1, 'predicted_label': None}","{""predictions"": [{""probabilities"": [0.30780887603759766, 0.6921911835670471], ""predicted_class"": 1, ""predicted_label"": null}]}"
data\processed\PetImages_224_split\test\Cat\10301.jpg,Cat,200,"{'probabilities': [0.051136989146471024, 0.9488630890846252], 'predicted_class': 1, 'predicted_label': None}","{""predictions"": [{""probabilities"": [0.051136989146471024, 0.9488630890846252], ""predicted_class"": 1, ""predicted_label"": null}]}"
data\processed\PetImages_224_split\test\Cat\10306.jpg,Cat,200,"{'probabilities': [0.059866782277822495, 0.940133273601532], 'predicted_class': 1, 'predicted_label': None}","{""predictions"": [{""probabilities"": [0.059866782277822495, 0.940133273601532], ""predicted_class"": 1, ""predicted_label"": null}]}"
data\processed\PetImages_224_split\test\Cat\10345.jpg,Cat,200,"{'probabilities': [0.9094984531402588, 0.09050154685974121], 'predicted_class': 0, 'predicted_label': None}","{""predictions"": [{""probabilities"": [0.9094984531402588, 0.09050154685974121], ""predicted_class"": 0, ""predicted_label"": null}]}"
data\processed\PetImages_224_split\test\Cat\10357.jpg,Cat,200,"{'probabilities': [0.9950969815254211, 0.004903006367385387], 'predicted_class': 0, 'predicted_label': None}","{""predictions"": [{""probabilities"": [0.9950969815254211, 0.004903006367385387], ""predicted_class"": 0, ""predicted_label"": null}]}"
data\processed\PetImages_224_split\test\Cat\10362.jpg,Cat,200,"{'probabilities': [0.6769245862960815, 0.32307538390159607], 'predicted_class': 0, 'predicted_label': None}","{""predictions"": [{""probabilities"": [0.6769245862960815, 0.32307538390159607], ""predicted_class"": 0, ""predicted_label"": null}]}"
data\processed\PetImages_224_split\test\Cat\10365.jpg,Cat,200,"{'probabilities': [0.17054136097431183, 0.8294586539268494], 'predicted_class': 1, 'predicted_label': None}","{""predictions"": [{""probabilities"": [0.17054136097431183, 0.8294586539268494], ""predicted_class"": 1, ""predicted_label"": null}]}"
data\processed\PetImages_224_split\test\Cat\10375.jpg,Cat,200,"{'probabilities': [0.996972918510437, 0.003027103841304779], 'predicted_class': 0, 'predicted_label': None}","{""predictions"": [{""probabilities"": [0.996972918510437, 0.003027103841304779], ""predicted_class"": 0, ""predicted_label"": null}]}"
data\processed\PetImages_224_split\test\Cat\10378.jpg,Cat,200,"{'probabilities': [0.9347767233848572, 0.06522329896688461], 'predicted_class': 0, 'predicted_label': None}","{""predictions"": [{""probabilities"": [0.9347767233848572, 0.06522329896688461], ""predicted_class"": 0, ""predicted_label"": null}]}"
data\processed\PetImages_224_split\test\Cat\10388.jpg,Cat,200,"{'probabilities': [0.20210041105747223, 0.797899603843689], 'predicted_class': 1, 'predicted_label': None}","{""predictions"": [{""probabilities"": [0.20210041105747223, 0.797899603843689], ""predicted_class"": 1, ""predicted_label"": null}]}"
data\processed\PetImages_224_split\test\Cat\10394.jpg,Cat,200,"{'probabilities': [0.9976676106452942, 0.0023323246277868748], 'predicted_class': 0, 'predicted_label': None}","{""predictions"": [{""probabilities"": [0.9976676106452942, 0.0023323246277868748], ""predicted_class"": 0, ""predicted_label"": null}]}"
data\processed\PetImages_224_split\test\Cat\10397.jpg,Cat,200,"{'probabilities': [0.638343334197998, 0.3616565763950348], 'predicted_class': 0, 'predicted_label': None}","{""predictions"": [{""probabilities"": [0.638343334197998, 0.3616565763950348], ""predicted_class"": 0, ""predicted_label"": null}]}"
data\processed\PetImages_224_split\test\Cat\10403.jpg,Cat,200,"{'probabilities': [0.9839230179786682, 0.016076920554041862], 'predicted_class': 0, 'predicted_label': None}","{""predictions"": [{""probabilities"": [0.9839230179786682, 0.016076920554041862], ""predicted_class"": 0, ""predicted_label"": null}]}"
data\processed\PetImages_224_split\test\Cat\1042.jpg,Cat,200,"{'probabilities': [0.3532741367816925, 0.6467258930206299], 'predicted_class': 1, 'predicted_label': None}","{""predictions"": [{""probabilities"": [0.3532741367816925, 0.6467258930206299], ""predicted_class"": 1, ""predicted_label"": null}]}"
data\processed\PetImages_224_split\test\Cat\10421.jpg,Cat,200,"{'probabilities': [0.909088134765625, 0.0909118801355362], 'predicted_class': 0, 'predicted_label': None}","{""predictions"": [{""probabilities"": [0.909088134765625, 0.0909118801355362], ""predicted_class"": 0, ""predicted_label"": null}]}"
data\processed\PetImages_224_split\test\Cat\10423.jpg,Cat,200,"{'probabilities': [0.7606677412986755, 0.23933224380016327], 'predicted_class': 0, 'predicted_label': None}","{""predictions"": [{""probabilities"": [0.7606677412986755, 0.23933224380016327], ""predicted_class"": 0, ""predicted_label"": null}]}"
data\processed\PetImages_224_split\test\Cat\10424.jpg,Cat,200,"{'probabilities': [0.9877852201461792, 0.012214787304401398], 'predicted_class': 0, 'predicted_label': None}","{""predictions"": [{""probabilities"": [0.9877852201461792, 0.012214787304401398], ""predicted_class"": 0, ""predicted_label"": null}]}"
data\processed\PetImages_224_split\test\Cat\10436.jpg,Cat,200,"{'probabilities': [0.9201699495315552, 0.07983008027076721], 'predicted_class': 0, 'predicted_label': None}","{""predictions"": [{""probabilities"": [0.9201699495315552, 0.07983008027076721], ""predicted_class"": 0, ""predicted_label"": null}]}"
data\processed\PetImages_224_split\test\Cat\10454.jpg,Cat,200,"{'probabilities': [0.911568284034729, 0.08843167871236801], 'predicted_class': 0, 'predicted_label': None}","{""predictions"": [{""probabilities"": [0.911568284034729, 0.08843167871236801], ""predicted_class"": 0, ""predicted_label"": null}]}"
data\processed\PetImages_224_split\test\Cat\1046.jpg,Cat,200,"{'probabilities': [0.8256567120552063, 0.17434321343898773], 'predicted_class': 0, 'predicted_label': None}","{""predictions"": [{""probabilities"": [0.8256567120552063, 0.17434321343898773], ""predicted_class"": 0, ""predicted_label"": null}]}"
data\processed\PetImages_224_split\test\Cat\10465.jpg,Cat,200,"{'probabilities': [0.9138251543045044, 0.0861748605966568], 'predicted_class': 0, 'predicted_label': None}","{""predictions"": [{""probabilities"": [0.9138251543045044, 0.0861748605966568], ""predicted_class"": 0, ""predicted_label"": null}]}"
data\processed\PetImages_224_split\test\Cat\1047.jpg,Cat,200,"{'probabilities': [0.9150937795639038, 0.08490625768899918], 'predicted_class': 0, 'predicted_label': None}","{""predictions"": [{""probabilities"": [0.9150937795639038, 0.08490625768899918], ""predicted_class"": 0, ""predicted_label"": null}]}"
data\processed\PetImages_224_split\test\Cat\10478.jpg,Cat,200,"{'probabilities': [0.9321064949035645, 0.06789354979991913], 'predicted_class': 0, 'predicted_label': None}","{""predictions"": [{""probabilities"": [0.9321064949035645, 0.06789354979991913], ""predicted_class"": 0, ""predicted_label"": null}]}"
data\processed\PetImages_224_split\test\Cat\10526.jpg,Cat,200,"{'probabilities': [0.9831740260124207, 0.01682593859732151], 'predicted_class': 0, 'predicted_label': None}","{""predictions"": [{""probabilities"": [0.9831740260124207, 0.01682593859732151], ""predicted_class"": 0, ""predicted_label"": null}]}"
data\processed\PetImages_224_split\test\Cat\10528.jpg,Cat,200,"{'probabilities': [0.9318769574165344, 0.06812310218811035], 'predicted_class': 0, 'predicted_label': None}","{""predictions"": [{""probabilities"": [0.9318769574165344, 0.06812310218811035], ""predicted_class"": 0, ""predicted_label"": null}]}"
data\processed\PetImages_224_split\test\Cat\10538.jpg,Cat,200,"{'probabilities': [0.20527134835720062, 0.7947286367416382], 'predicted_class': 1, 'predicted_label': None}","{""predictions"": [{""probabilities"": [0.20527134835720062, 0.7947286367416382], ""predicted_class"": 1, ""predicted_label"": null}]}"
data\processed\PetImages_224_split\test\Cat\10542.jpg,Cat,200,"{'probabilities': [0.8016701340675354, 0.198329895734787], 'predicted_class': 0, 'predicted_label': None}","{""predictions"": [{""probabilities"": [0.8016701340675354, 0.198329895734787], ""predicted_class"": 0, ""predicted_label"": null}]}"
data\processed\PetImages_224_split\test\Cat\10560.jpg,Cat,200,"{'probabilities': [0.9993839263916016, 0.0006160402554087341], 'predicted_class': 0, 'predicted_label': None}","{""predictions"": [{""probabilities"": [0.9993839263916016, 0.0006160402554087341], ""predicted_class"": 0, ""predicted_label"": null}]}"
data\processed\PetImages_224_split\test\Cat\10568.jpg,Cat,200,"{'probabilities': [0.8065857291221619, 0.19341425597667694], 'predicted_class': 0, 'predicted_label': None}","{""predictions"": [{""probabilities"": [0.8065857291221619, 0.19341425597667694], ""predicted_class"": 0, ""predicted_label"": null}]}"
data\processed\PetImages_224_split\test\Cat\10583.jpg,Cat,200,"{'probabilities': [0.9977396726608276, 0.002260304056107998], 'predicted_class': 0, 'predicted_label': None}","{""predictions"": [{""probabilities"": [0.9977396726608276, 0.002260304056107998], ""predicted_class"": 0, ""predicted_label"": null}]}"
data\processed\PetImages_224_split\test\Cat\10585.jpg,Cat,200,"{'probabilities': [0.9300962686538696, 0.06990373879671097], 'predicted_class': 0, 'predicted_label': None}","{""predictions"": [{""probabilities"": [0.9300962686538696, 0.06990373879671097], ""predicted_class"": 0, ""predicted_label"": null}]}"
data\processed\PetImages_224_split\test\Cat\10590.jpg,Cat,200,"{'probabilities': [0.20676831901073456, 0.7932316660881042], 'predicted_class': 1, 'predicted_label': None}","{""predictions"": [{""probabilities"": [0.20676831901073456, 0.7932316660881042], ""predicted_class"": 1, ""predicted_label"": null}]}"
data\processed\PetImages_224_split\test\Cat\10601.jpg,Cat,200,"{'probabilities': [0.645552396774292, 0.354447603225708], 'predicted_class': 0, 'predicted_label': None}","{""predictions"": [{""probabilities"": [0.645552396774292, 0.354447603225708], ""predicted_class"": 0, ""predicted_label"": null}]}"
data\processed\PetImages_224_split\test\Cat\10613.jpg,Cat,200,"{'probabilities': [0.8952760696411133, 0.10472393780946732], 'predicted_class': 0, 'predicted_label': None}","{""predictions"": [{""probabilities"": [0.8952760696411133, 0.10472393780946732], ""predicted_class"": 0, ""predicted_label"": null}]}"
data\processed\PetImages_224_split\test\Cat\10637.jpg,Cat,200,"{'probabilities': [0.23528558015823364, 0.7647144198417664], 'predicted_class': 1, 'predicted_label': None}","{""predictions"": [{""probabilities"": [0.23528558015823364, 0.7647144198417664], ""predicted_class"": 1, ""predicted_label"": null}]}"
data\processed\PetImages_224_split\test\Cat\10640.jpg,Cat,200,"{'probabilities': [0.8907170295715332, 0.1092829555273056], 'predicted_class': 0, 'predicted_label': None}","{""predictions"": [{""probabilities"": [0.8907170295715332, 0.1092829555273056], ""predicted_class"": 0, ""predicted_label"": null}]}"
data\processed\PetImages_224_split\test\Cat\10647.jpg,Cat,200,"{'probabilities': [0.5864697098731995, 0.4135303497314453], 'predicted_class': 0, 'predicted_label': None}","{""predictions"": [{""probabilities"": [0.5864697098731995, 0.4135303497314453], ""predicted_class"": 0, ""predicted_label"": null}]}"
data\processed\PetImages_224_split\test\Cat\10651.jpg,Cat,200,"{'probabilities': [0.06482519954442978, 0.935174822807312], 'predicted_class': 1, 'predicted_label': None}","{""predictions"": [{""probabilities"": [0.06482519954442978, 0.935174822807312], ""predicted_class"": 1, ""predicted_label"": null}]}"
data\processed\PetImages_224_split\test\Cat\10668.jpg,Cat,200,"{'probabilities': [0.9486791491508484, 0.051320821046829224], 'predicted_class': 0, 'predicted_label': None}","{""predictions"": [{""probabilities"": [0.9486791491508484, 0.051320821046829224], ""predicted_class"": 0, ""predicted_label"": null}]}"
data\processed\PetImages_224_split\test\Cat\10672.jpg,Cat,200,"{'probabilities': [0.5609949231147766, 0.439005047082901], 'predicted_class': 0, 'predicted_label': None}","{""predictions"": [{""probabilities"": [0.5609949231147766, 0.439005047082901], ""predicted_class"": 0, ""predicted_label"": null}]}"
data\processed\PetImages_224_split\test\Cat\10675.jpg,Cat,200,"{'probabilities': [0.9850687384605408, 0.014931311830878258], 'predicted_class': 0, 'predicted_label': None}","{""predictions"": [{""probabilities"": [0.9850687384605408, 0.014931311830878258], ""predicted_class"": 0, ""predicted_label"": null}]}"
data\processed\PetImages_224_split\test\Cat\10679.jpg,Cat,200,"{'probabilities': [0.4556982219219208, 0.5443017482757568], 'predicted_class': 1, 'predicted_label': None}","{""predictions"": [{""probabilities"": [0.4556982219219208, 0.5443017482757568], ""predicted_class"": 1, ""predicted_label"": null}]}"
data\processed\PetImages_224_split\test\Cat\10691.jpg,Cat,200,"{'probabilities': [0.457085520029068, 0.5429145097732544], 'predicted_class': 1, 'predicted_label': None}","{""predictions"": [{""probabilities"": [0.457085520029068, 0.5429145097732544], ""predicted_class"": 1, ""predicted_label"": null}]}"
data\processed\PetImages_224_split\test\Cat\10736.jpg,Cat,200,"{'probabilities': [0.9659292697906494, 0.03407071903347969], 'predicted_class': 0, 'predicted_label': None}","{""predictions"": [{""probabilities"": [0.9659292697906494, 0.03407071903347969], ""predicted_class"": 0, ""predicted_label"": null}]}"
data\processed\PetImages_224_split\test\Cat\10737.jpg,Cat,200,"{'probabilities': [0.6943804025650024, 0.30561962723731995], 'predicted_class': 0, 'predicted_label': None}","{""predictions"": [{""probabilities"": [0.6943804025650024, 0.30561962723731995], ""predicted_class"": 0, ""predicted_label"": null}]}"
data\processed\PetImages_224_split\test\Cat\10738.jpg,Cat,200,"{'probabilities': [0.6979803442955017, 0.3020196259021759], 'predicted_class': 0, 'predicted_label': None}","{""predictions"": [{""probabilities"": [0.6979803442955017, 0.3020196259021759], ""predicted_class"": 0, ""predicted_label"": null}]}"
data\processed\PetImages_224_split\test\Cat\10742.jpg,Cat,200,"{'probabilities': [0.9985382556915283, 0.0014617691049352288], 'predicted_class': 0, 'predicted_label': None}","{""predictions"": [{""probabilities"": [0.9985382556915283, 0.0014617691049352288], ""predicted_class"": 0, ""predicted_label"": null}]}"
data\processed\PetImages_224_split\test\Cat\10746.jpg,Cat,200,"{'probabilities': [0.9996516704559326, 0.00034834048710763454], 'predicted_class': 0, 'predicted_label': None}","{""predictions"": [{""probabilities"": [0.9996516704559326, 0.00034834048710763454], ""predicted_class"": 0, ""predicted_label"": null}]}"
data\processed\PetImages_224_split\test\Cat\10754.jpg,Cat,200,"{'probabilities': [0.6105783581733704, 0.38942158222198486], 'predicted_class': 0, 'predicted_label': None}","{""predictions"": [{""probabilities"": [0.6105783581733704, 0.38942158222198486], ""predicted_class"": 0, ""predicted_label"": null}]}"
data\processed\PetImages_224_split\test\Cat\10758.jpg,Cat,200,"{'probabilities': [0.9633034467697144, 0.036696575582027435], 'predicted_class': 0, 'predicted_label': None}","{""predictions"": [{""probabilities"": [0.9633034467697144, 0.036696575582027435], ""predicted_class"": 0, ""predicted_label"": null}]}"
data\processed\PetImages_224_split\test\Cat\10765.jpg,Cat,200,"{'probabilities': [0.7806898355484009, 0.21931017935276031], 'predicted_class': 0, 'predicted_label': None}","{""predictions"": [{""probabilities"": [0.7806898355484009, 0.21931017935276031], ""predicted_class"": 0, ""predicted_label"": null}]}"
data\processed\PetImages_224_split\test\Cat\10788.jpg,Cat,200,"{'probabilities': [0.9993378520011902, 0.0006620901403948665], 'predicted_class': 0, 'predicted_label': None}","{""predictions"": [{""probabilities"": [0.9993378520011902, 0.0006620901403948665], ""predicted_class"": 0, ""predicted_label"": null}]}"
data\processed\PetImages_224_split\test\Cat\10796.jpg,Cat,200,"{'probabilities': [0.9976250529289246, 0.002374897012487054], 'predicted_class': 0, 'predicted_label': None}","{""predictions"": [{""probabilities"": [0.9976250529289246, 0.002374897012487054], ""predicted_class"": 0, ""predicted_label"": null}]}"
data\processed\PetImages_224_split\test\Cat\10797.jpg,Cat,200,"{'probabilities': [0.6197203397750854, 0.38027969002723694], 'predicted_class': 0, 'predicted_label': None}","{""predictions"": [{""probabilities"": [0.6197203397750854, 0.38027969002723694], ""predicted_class"": 0, ""predicted_label"": null}]}"
data\processed\PetImages_224_split\test\Cat\10800.jpg,Cat,200,"{'probabilities': [0.5281904935836792, 0.47180959582328796], 'predicted_class': 0, 'predicted_label': None}","{""predictions"": [{""probabilities"": [0.5281904935836792, 0.47180959582328796], ""predicted_class"": 0, ""predicted_label"": null}]}"
data\processed\PetImages_224_split\test\Cat\10821.jpg,Cat,200,"{'probabilities': [0.5779072642326355, 0.4220927953720093], 'predicted_class': 0, 'predicted_label': None}","{""predictions"": [{""probabilities"": [0.5779072642326355, 0.4220927953720093], ""predicted_class"": 0, ""predicted_label"": null}]}"
data\processed\PetImages_224_split\test\Cat\10824.jpg,Cat,200,"{'probabilities': [0.9667698740959167, 0.03323014825582504], 'predicted_class': 0, 'predicted_label': None}","{""predictions"": [{""probabilities"": [0.9667698740959167, 0.03323014825582504], ""predicted_class"": 0, ""predicted_label"": null}]}"
data\processed\PetImages_224_split\test\Cat\10835.jpg,Cat,200,"{'probabilities': [0.9599184393882751, 0.04008157551288605], 'predicted_class': 0, 'predicted_label': None}","{""predictions"": [{""probabilities"": [0.9599184393882751, 0.04008157551288605], ""predicted_class"": 0, ""predicted_label"": null}]}"
data\processed\PetImages_224_split\test\Cat\1084.jpg,Cat,200,"{'probabilities': [0.6408161520957947, 0.35918381810188293], 'predicted_class': 0, 'predicted_label': None}","{""predictions"": [{""probabilities"": [0.6408161520957947, 0.35918381810188293], ""predicted_class"": 0, ""predicted_label"": null}]}"
data\processed\PetImages_224_split\test\Cat\10851.jpg,Cat,200,"{'probabilities': [0.39991578459739685, 0.6000841856002808], 'predicted_class': 1, 'predicted_label': None}","{""predictions"": [{""probabilities"": [0.39991578459739685, 0.6000841856002808], ""predicted_class"": 1, ""predicted_label"": null}]}"
data\processed\PetImages_224_split\test\Cat\1086.jpg,Cat,200,"{'probabilities': [0.43005460500717163, 0.5699453353881836], 'predicted_class': 1, 'predicted_label': None}","{""predictions"": [{""probabilities"": [0.43005460500717163, 0.5699453353881836], ""predicted_class"": 1, ""predicted_label"": null}]}"
data\processed\PetImages_224_split\test\Cat\10861.jpg,Cat,200,"{'probabilities': [0.902447521686554, 0.09755242615938187], 'predicted_class': 0, 'predicted_label': None}","{""predictions"": [{""probabilities"": [0.902447521686554, 0.09755242615938187], ""predicted_class"": 0, ""predicted_label"": null}]}"
data\processed\PetImages_224_split\test\Cat\10865.jpg,Cat,200,"{'probabilities': [0.02682146057486534, 0.973178505897522], 'predicted_class': 1, 'predicted_label': None}","{""predictions"": [{""probabilities"": [0.02682146057486534, 0.973178505897522], ""predicted_class"": 1, ""predicted_label"": null}]}"
data\processed\PetImages_224_split\test\Cat\10877.jpg,Cat,200,"{'probabilities': [0.9960901141166687, 0.00390990125015378], 'predicted_class': 0, 'predicted_label': None}","{""predictions"": [{""probabilities"": [0.9960901141166687, 0.00390990125015378], ""predicted_class"": 0, ""predicted_label"": null}]}"
data\processed\PetImages_224_split\test\Cat\10885.jpg,Cat,200,"{'probabilities': [0.9994903802871704, 0.0005095693632028997], 'predicted_class': 0, 'predicted_label': None}","{""predictions"": [{""probabilities"": [0.9994903802871704, 0.0005095693632028997], ""predicted_class"": 0, ""predicted_label"": null}]}"
data\processed\PetImages_224_split\test\Cat\10891.jpg,Cat,200,"{'probabilities': [0.19809174537658691, 0.8019082546234131], 'predicted_class': 1, 'predicted_label': None}","{""predictions"": [{""probabilities"": [0.19809174537658691, 0.8019082546234131], ""predicted_class"": 1, ""predicted_label"": null}]}"
data\processed\PetImages_224_split\test\Cat\10896.jpg,Cat,200,"{'probabilities': [0.3236706852912903, 0.6763292551040649], 'predicted_class': 1, 'predicted_label': None}","{""predictions"": [{""probabilities"": [0.3236706852912903, 0.6763292551040649], ""predicted_class"": 1, ""predicted_label"": null}]}"
